WP,FlatMassQCDEff_0p25,FlatMassQCDEff_0p30,FlatMassQCDEff_0p37,FlatMassQCDEff_0p46,FlatMassQCDEff_0p58,FlatMassQCDEff_0p74,FlatMassQCDEff_0p94,FlatMassQCDEff_1p25,FlatMassQCDEff_1p55
( M()>=118.0 && M() < 119.0),4.526929875576911,4.379985098036347,4.2002455658718665,3.9702922686871256,3.7000656534710363,3.3590423211219376,2.98228486799365,2.519323785046234,2.1585228149535185
( M()>=119.0 && M() < 120.0),4.5234132638504025,4.376822491277187,4.197364244026688,3.9696574357406615,3.6988127536299538,3.359772022019511,2.985920343505627,2.52305431074237,2.1639808596497634
( M()>=120.0 && M() < 121.0),4.519937647557132,4.37375234828729,4.194521189448231,3.969021733711518,3.6975223031368984,3.3608213473402406,2.990097000504863,2.52754298764486,2.1700147691215275
( M()>=121.0 && M() < 122.0),4.516520854107274,4.37078475560595,4.191727422565356,3.968384254174592,3.6962101460175307,3.3621277693359937,2.9946898572516605,2.5326376491341267,2.1764768216526478
( M()>=122.0 && M() < 123.0),4.513180710911,4.367929799772458,4.188993963806928,3.96774408870478,3.6948921262975136,3.3636287602586368,2.9995739320063253,2.5381861285905916,2.1832192955269627
( M()>=123.0 && M() < 124.0),4.509935016490034,4.365197524151953,4.186331792161418,3.96710030311715,3.6935840639545825,3.3652618403991545,3.00462433404132,2.5440363844437885,2.1900946009204616
( M()>=124.0 && M() < 125.0),4.506796611646615,4.362590562733863,4.183744774783995,3.9664475424279733,3.6922976519580812,3.366972774329936,3.0097317917717294,2.5500578355516397,2.1969777828127643
( M()>=125.0 && M() < 126.0),4.503767800295759,4.3600958019937925,4.181221663697628,3.9657710559104986,3.6910358119416404,3.3687248486037062,3.0148202297514413,2.556165511685343,2.2037919930547334
( M()>=126.0 && M() < 127.0),4.500849538533162,4.357698114073987,4.178749277482626,3.965054890987395,3.6898003435589817,3.370483591086314,3.019817818797618,2.5622802769074635,2.2104665370574925
( M()>=127.0 && M() < 128.0),4.498042782454521,4.355382371116698,4.176314434719303,3.964283095081333,3.688593046463832,3.372214529643607,3.0246527297274235,2.568322995280564,2.2169307202321695
( M()>=128.0 && M() < 129.0),4.495348488100672,4.353133445176626,4.173903953912957,3.963439715598919,3.6874157201733873,3.373883192546749,3.029253134186695,2.574214531602589,2.223113848496411
( M()>=129.0 && M() < 130.0),4.492766853327403,4.3509349984454335,4.171503616903604,3.9625085779382894,3.686268277425687,3.3754607095026934,3.0335586561276524,2.5798859136362213,2.2289522279157
( M()>=130.0 && M() < 131.0),4.490295413400442,4.3487664443244025,4.169095564975831,3.9614727278494657,3.6851440049781052,3.3769378813098125,3.0375491376490826,2.5853038593878255,2.2344067476361897
( M()>=131.0 && M() < 132.0),4.487931119420939,4.346606264042476,4.166661140686872,3.96031504002992,3.684034735866993,3.3783098245471046,3.041213244594947,2.590442917200128,2.2394436902609156
( M()>=132.0 && M() < 133.0),4.485670922490049,4.344432938828602,4.164181686593964,3.959018389177127,3.682932303128703,3.37957165579357,3.044539642809208,2.5952776354158558,2.244029338392913
( M()>=133.0 && M() < 134.0),4.483511773708929,4.342224949911724,4.161638545254344,3.957565649988562,3.68182853979959,3.3807184916282105,3.0475169981358294,2.5997825623777358,2.2481299746352192
( M()>=134.0 && M() < 135.0),4.48145130214091,4.339962022868175,4.159014379020405,3.955940965914224,3.68071503479262,3.3817469759166223,3.050136992057595,2.60393693682566,2.251716764119517
( M()>=135.0 && M() < 136.0),4.479491162843001,4.3376312726756945,4.156299687683096,3.9541360147324056,3.679581927324572,3.3826628221249484,3.052409214051494,2.6077478508367924,2.2547898662635535
( M()>=136.0 && M() < 137.0),4.47763449120262,4.335222531344539,4.153487852806088,3.9521452445425362,3.6784188235688116,3.3834750785496146,3.05434983824188,2.6112326379705046,2.2573601014863747
( M()>=137.0 && M() < 138.0),4.475884424895317,4.332725635084636,4.150572260407361,3.949963107726088,3.6772153288747895,3.38419279864164,3.0559750489308914,2.6144086476162616,2.259438306685562
( M()>=138.0 && M() < 139.0),4.474244101596639,4.330130420105918,4.147546296504894,3.947584056664533,3.675961048591958,3.384825035852043,3.0573010304206667,2.617293229163528,2.2610353187586987
( M()>=139.0 && M() < 140.0),4.472716982348361,4.3274276963551666,4.144404317123246,3.94500343237504,3.6746458568616283,3.38538089835205,3.0583440960160693,2.619904302847412,2.2621628420657194
( M()>=140.0 && M() < 141.0),4.471309917774549,4.324618480661969,4.14115084606832,3.942225890712097,3.6732624453491582,3.385870067899842,3.059121911251461,2.6222657726085528,2.262841673861131
( M()>=141.0 && M() < 142.0),4.470031781748708,4.3217098823676725,4.137796476318039,3.939261647577963,3.671805187506477,3.386302568628967,3.0596529488100965,2.6244051140751417,2.263098038969074
( M()>=142.0 && M() < 143.0),4.468891475223112,4.31870909235457,4.1343518820788985,3.9361209932894528,3.6702684792942044,3.3866884292552557,3.059955692177945,2.6263498506781193,2.2629582348551853
( M()>=143.0 && M() < 144.0),4.467897899150028,4.315623301504963,4.130827737557395,3.9328142181633834,3.6686467166729595,3.3870376784945395,3.060048624840978,2.6281275058484246,2.2624485589851027
( M()>=144.0 && M() < 145.0),4.467059917357555,4.3124599859714285,4.127234980640715,3.9293518875545272,3.6669344758879023,3.3873601491042438,3.059950010774123,2.6297651606368313,2.2615950679066277
( M()>=145.0 && M() < 146.0),4.466385621048361,4.30923255892922,4.12359003691779,3.9257502908858988,3.665130085251755,3.3876615955708673,3.059673545505682,2.6312806893128604,2.260418804204446
( M()>=146.0 && M() < 147.0),4.4658823714022615,4.3059600432088025,4.1199145170873965,3.922031126023606,3.6632354182557907,3.3879439189858673,3.0592286080215167,2.6326832670267475,2.2589360729700836
( M()>=147.0 && M() < 148.0),4.465557501004002,4.302661681371396,4.11623023494958,3.9182163026830135,3.661252487256279,3.3882088695028294,3.058624408228082,2.6339817281833557,2.257162993726985
( M()>=148.0 && M() < 149.0),4.465418342438329,4.29935671597822,4.112559004304384,3.914327730579485,3.659183304609487,3.3884581972753383,3.0578701560318358,2.635184907187546,2.2551156859985944
( M()>=149.0 && M() < 150.0),4.465472117975444,4.296064366364783,4.108922599371139,3.910387310479102,3.657029929292596,3.3886935913036744,3.056975026861997,2.6363015081827985,2.252810284252967
( M()>=150.0 && M() < 151.0),4.465720072431769,4.292802593368629,4.105340649666204,3.9064164582261007,3.6547969464621968,3.3889134269627497,3.0559463279797145,2.637333177028205,2.2502637327400064
( M()>=151.0 && M() < 152.0),4.466154536691632,4.28958748108081,4.10182958639823,3.902435866520623,3.6524927084628165,3.3891111381536407,3.0547885807235855,2.638271033852352,2.247494183304135
( M()>=152.0 && M() < 153.0),4.466767114468313,4.286434960493204,4.098405579867797,3.8984661690709483,3.650125874954539,3.389279755667247,3.0535060791652495,2.6391053401272337,2.244519886301607
( M()>=153.0 && M() < 154.0),4.467549409475084,4.283360962597681,4.095084800375482,3.894527999585356,3.6477051055974474,3.3894123102944684,3.052103117376344,2.6398263573248437,2.241359092088677
( M()>=154.0 && M() < 155.0),4.468493025425222,4.280381418386114,4.091883418221867,3.890641991772126,3.6452390600516256,3.389501832826205,3.050583989428508,2.6404243469171766,2.238030051021597
( M()>=155.0 && M() < 156.0),4.469589566032009,4.27751225885038,4.088817603707536,3.8868287793395417,3.642736397977159,3.3895413540533585,3.048952989393382,2.6408895703762276,2.234551013456623
( M()>=156.0 && M() < 157.0),4.470830635008717,4.274769414982348,4.085903527133064,3.88310899599588,3.6402057790341296,3.3895239047668264,3.047214411342603,2.6412122891739895,2.2309402297500087
( M()>=157.0 && M() < 158.0),4.472207836068623,4.272168817773894,4.083157358799036,3.879503275449421,3.637655862882622,3.3894425157575103,3.0453725493478103,2.641382764782457,2.227215950258007
( M()>=158.0 && M() < 159.0),4.473712772925006,4.269726398216889,4.080595269006028,3.8760322514084455,3.6350953091827196,3.389290217816309,3.043431697480642,2.6413912586736252,2.2233964253368725
( M()>=159.0 && M() < 160.0),4.47533704929114,4.267458087303208,4.078233428054623,3.8727165575812332,3.632532777594507,3.389060041734124,3.0413961498127375,2.6412280323194874,2.219499905342859
